"Iteration","Turbolent KE - Vol Avg Monitor: Turbolent KE - Vol Avg Monitor (J/kg)","Velocity - Vol Avg Monitor: Velocity - Vol Avg Monitor (m/s)"
1.0,1.2834881006022392E8,520.9160323272597
4.0,1.2125429910509206E8,143141.92159809513
7.0,1.5398790711129045E8,202466.3317744775
10.0,2.242062734666958E8,196961.28092930454
13.0,3.179438874432898E8,198252.02187788766
16.0,4.3303797880547297E8,200435.2462828323
19.0,5.2649222865365785E8,203016.33290043086
22.0,5.773116140882378E8,204888.98565850765
25.0,5.925671434250479E8,206338.4821476557
28.0,5.932950851347797E8,207471.2372423731
32.0,5.879550714882947E8,208541.54763815648
35.0,5.793016772188894E8,209108.8745835457
38.0,5.65990561458625E8,209521.68748312042
41.0,5.464747665531112E8,209796.86046414528
44.0,5.2240228262178534E8,209891.24985319714
47.0,4.9549099033160204E8,209862.81669780778
50.0,4.669670432234777E8,209781.27619718394
53.0,4.383138497939621E8,209662.57971597888
56.0,4.1094225258514863E8,209492.40050707446
60.0,3.757590181832921E8,209198.47942080925
63.0,3.507866197816003E8,208942.5213263317
66.0,3.2816459621399987E8,208662.53826718073
69.0,3.0848958433296764E8,208357.7713082376
72.0,2.918304927019851E8,208027.4042611529
75.0,2.7782174540528345E8,207678.77990437998
78.0,2.658920273490955E8,207322.54747100596
81.0,2.555720523524311E8,206960.58488021142
84.0,2.466129042017561E8,206595.98566539475
87.0,2.38839336628566E8,206239.9566394035
91.0,2.299867116601073E8,205787.94508737657
94.0,2.242442483432775E8,205458.50081095225
97.0,2.1913805451539505E8,205131.1886865454
100.0,2.1500685628584984E8,204805.45850195462
103.0,2.1137642933990672E8,204482.30332107173
106.0,2.0808498496667925E8,204162.90276999696
109.0,2.0525003193871304E8,203848.84302898945
112.0,2.0282446269103312E8,203541.53486269212
115.0,2.0076792877927202E8,203239.21018834304
119.0,1.9852715081206164E8,202839.64564072102
122.0,1.9716916614773923E8,202541.8205868423
125.0,1.9604627644026342E8,202246.74687112824
128.0,1.9512269663391095E8,201955.71190707537
131.0,1.943600920127118E8,201669.22330644532
134.0,1.9371720327454987E8,201386.98427117564
137.0,1.9315447418685645E8,201108.0054082694
140.0,1.9263680822141984E8,200831.24143161083
143.0,1.9213394736059406E8,200556.0363588199
147.0,1.9144110543780002E8,200191.14345845874
150.0,1.9087430412387523E8,199919.17343834255
153.0,1.90244408428211E8,199648.66361061897
156.0,1.8953470056145865E8,199379.37936030165
159.0,1.887331353034014E8,199110.95990059967
162.0,1.8783260101229224E8,198843.00309344465
165.0,1.8683053136270627E8,198575.17320719635
168.0,1.8572799164852118E8,198307.28158341302
171.0,1.8452866436959222E8,198039.23100426246
174.0,1.832377557961134E8,197770.99942354293
178.0,1.8138505141090846E8,197412.9984965376
181.0,1.7990687981252998E8,197144.13507440893
184.0,1.7836259854719368E8,196874.86304108618
187.0,1.76762064221644E8,196605.1193269473
190.0,1.7511549326736942E8,196334.86875990278
193.0,1.7343302630766928E8,196064.099520088
196.0,1.71724234110187E8,195792.81382367198
199.0,1.6999797744078085E8,195521.02637610552
202.0,1.6826243085272187E8,195248.75573571364
206.0,1.6594679553708747E8,194885.00748895382
209.0,1.6421772854646683E8,194611.69386076828
212.0,1.6250210193852484E8,194337.98561366336
215.0,1.6080544963909E8,194063.90997173265
218.0,1.591327745638034E8,193789.49590955762
221.0,1.5748835870358005E8,193514.7728357235
224.0,1.5587574759267056E8,193239.77565486945
227.0,1.5429789146997046E8,192964.54370037044
230.0,1.5275725363509548E8,192689.11622151063
234.0,1.5076446589305672E8,192321.64375484522
237.0,1.493181273103573E8,192045.90782530888
240.0,1.479147199266129E8,191770.09429848174
243.0,1.465553167003906E8,191494.23379636602
246.0,1.4524057621844766E8,191218.3577764155
249.0,1.4397078431790167E8,190942.49675881577
252.0,1.427459824284279E8,190666.68204318502
255.0,1.4156605630755287E8,190390.945274097
258.0,1.4043074190559122E8,190115.316028751
261.0,1.393396044941372E8,189839.8207750005
265.0,1.379524115434443E8,189472.74257894186
268.0,1.3696180559117886E8,189197.6487310636
271.0,1.3601293690661687E8,188922.762426344
274.0,1.351048611752061E8,188648.10458425622
277.0,1.3423658991181093E8,188373.69595572786
280.0,1.3340705905292882E8,188099.5562806464
283.0,1.3261514221365981E8,187825.70310329983
286.0,1.3185970526169318E8,187552.15165249372
289.0,1.3113962177808462E8,187278.91514804334
