"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual","Z-momentum: Residual","Tke: Residual","Tdr: Residual"
1.0,0.004807962024881699,1.3772266933673355E-34,4.451734403428877E-34,2.2331159804731875E-6,5.449244693644359E-4,3.649134567627491E-26
4.0,0.3656345751000937,1.0,1.0,1.0,0.12308095020129346,1.0
7.0,0.16596660903743404,0.1210485408641379,0.17671457892160883,0.2601450984326334,0.06342575291361849,0.6890226313233928
10.0,0.10696770136500858,0.06876211390407148,0.0804635223304576,0.0916671994339764,0.07313234588334651,0.9316172140772581
13.0,0.07927015567553035,0.048593655479867354,0.04373756432520888,0.05923111478624048,0.0633608889810974,0.8015280812016481
16.0,0.055924790405013754,0.03652733176592653,0.023925567005520912,0.0465667007680058,0.05068092294400716,0.6198022956298308
19.0,0.03609371927205126,0.026158510636276614,0.017086069079387645,0.03668830886721146,0.04195666318703037,0.47364423560564456
22.0,0.023875231880988404,0.01874217559001435,0.01311528783310061,0.02972637091309531,0.0340788992486396,0.3485925333403659
25.0,0.01510863501675996,0.014653176140590547,0.010724118831522383,0.023750861971365375,0.030246859742863022,0.28111188527231035
28.0,0.009576680902215605,0.01253479315914172,0.00888353852093249,0.018690952427526115,0.02980765710300513,0.26368173480295404
32.0,0.005776583763859919,0.010826771795691718,0.007074602105271681,0.013750998459555146,0.028639730771531334,0.23188230730644002
35.0,0.004339245139315068,0.009858851783912721,0.005944250972081298,0.01108274958189114,0.02586316365807276,0.1903836014222474
38.0,0.003294121349645081,0.008983604858360798,0.0050512102012788326,0.009020181950648964,0.022414620075408842,0.14470072862447503
41.0,0.002528020251736052,0.008045756306022346,0.004364124610494511,0.007481250994620608,0.018980271935634074,0.10444472075651001
44.0,0.0019883395418301055,0.007207961211277414,0.0037629210400873993,0.006286265705815278,0.015780203214430973,0.07256303943599762
47.0,0.0015858819915733685,0.00639281402661542,0.0032335305835106726,0.0053404745531797125,0.013076501770696917,0.049785720638851484
50.0,0.00126457102126068,0.005648973964041739,0.0028099879213803057,0.004580046911018186,0.010894956600047809,0.03508243533523196
53.0,0.0010385856319735573,0.004992374543310774,0.00239465631781292,0.003993707194517403,0.009088847289433594,0.02599282349470717
56.0,8.280135558233091E-4,0.004387324082803109,0.0020516079038888167,0.0035194027789696644,0.007539021709076373,0.01999866773894752
60.0,6.507622635389094E-4,0.003737335651707794,0.0016420345463587704,0.0030175606992626875,0.005703812186948883,0.014621040180144082
63.0,5.509949298933855E-4,0.00329176742138658,0.0014244643462666966,0.002719511457493543,0.004473417032564665,0.01142459069265628
66.0,4.6019890584101276E-4,0.002930736794214442,0.0012410980999779306,0.0024800277053035782,0.003481555945867918,0.008716246853588535
69.0,3.860765510153788E-4,0.002624064663892863,0.0010798339417255973,0.002277955899104951,0.0027094847165469267,0.006583428143756535
72.0,3.324936233665919E-4,0.0023433563199718767,9.462105957581767E-4,0.0020861068210236474,0.002131513708710477,0.0049865944836531674
75.0,2.9460380603702223E-4,0.0020946898696054058,8.351460674207664E-4,0.0019029211104589572,0.0017199228946890366,0.0038390423320236963
78.0,2.557759392404423E-4,0.001871758623124638,7.344642267265891E-4,0.0017392670291912925,0.0014341216924982718,0.003041640850119541
81.0,2.2463341720838014E-4,0.0016793986760873395,6.424377135851544E-4,0.0015855959556681555,0.0012314391246143286,0.0024987685075609136
84.0,1.9573181650136404E-4,0.001499798812732374,5.647383442282138E-4,0.0014398845920678422,0.0010789515274582846,0.0021458595861900878
