# j        y/delta             y+           Prod       P_strain      Pres_diff      Visc_diff      Turb_diff           Diss       Residual
  1   0.000000E+00   0.000000E+00   0.231795E-31   0.278618E-16  -0.566128E-19   0.235658E+00  -0.422155E-08  -0.235658E+00  -0.422155E-08
  2   0.334661E-04   0.215033E-01   0.977489E-08   0.818573E-17   0.471502E-03   0.234245E+00   0.187693E-07  -0.234716E+00   0.235470E-06
  3   0.133862E-03   0.860117E-01   0.629523E-06  -0.147451E-16   0.182936E-02   0.230165E+00   0.106528E-05  -0.232003E+00  -0.662374E-05
  4   0.301181E-03   0.193521E+00   0.724346E-05  -0.173472E-17   0.394872E-02   0.223852E+00   0.121952E-04  -0.227820E+00  -0.497578E-06
  5   0.535413E-03   0.344024E+00   0.412455E-04  -0.867362E-18   0.660383E-02   0.215883E+00   0.688181E-04  -0.222592E+00   0.503809E-05
  6   0.836540E-03   0.537510E+00   0.159819E-03   0.867362E-17   0.950764E-02   0.206831E+00   0.263918E-03  -0.216774E+00  -0.121050E-04
  7   0.120454E-02   0.773968E+00   0.485153E-03   0.104083E-16   0.124332E-01   0.197041E+00   0.790559E-03  -0.210755E+00  -0.546690E-05
  8   0.163940E-02   0.105338E+01   0.124235E-02  -0.260209E-16   0.151102E-01   0.186445E+00   0.198541E-02  -0.204781E+00   0.257160E-05
  9   0.214108E-02   0.137573E+01   0.280103E-02   0.173472E-16   0.173027E-01   0.174441E+00   0.434174E-02  -0.198910E+00  -0.233745E-04
 10   0.270954E-02   0.174099E+01   0.570810E-02   0.693889E-17   0.189484E-01   0.159889E+00   0.843610E-02  -0.193003E+00  -0.210939E-04
 11   0.334476E-02   0.214914E+01   0.106900E-01   0.000000E+00   0.199750E-01   0.141387E+00   0.147147E-01  -0.186783E+00  -0.161700E-04
 12   0.404669E-02   0.260016E+01   0.185965E-01  -0.416334E-16   0.203560E-01   0.117824E+00   0.231549E-01  -0.179983E+00  -0.517753E-04
 13   0.481527E-02   0.309401E+01   0.302656E-01  -0.416334E-16   0.202266E-01   0.890130E-01   0.329409E-01  -0.172510E+00  -0.640248E-04
 14   0.565047E-02   0.363065E+01   0.463128E-01  -0.520417E-16   0.196603E-01   0.561544E-01   0.423789E-01  -0.164581E+00  -0.750974E-04
 15   0.655222E-02   0.421006E+01   0.668898E-01  -0.277556E-16   0.187084E-01   0.217936E-01   0.492075E-01  -0.156726E+00  -0.126714E-03
 16   0.752047E-02   0.483220E+01   0.914922E-01   0.000000E+00   0.175144E-01  -0.107870E-01   0.512452E-01  -0.149624E+00  -0.159359E-03
 17   0.855514E-02   0.549702E+01   0.118902E+00  -0.832667E-16   0.161240E-01  -0.384370E-01   0.471085E-01  -0.143884E+00  -0.186792E-03
 18   0.965617E-02   0.620448E+01   0.147312E+00   0.104083E-16   0.145373E-01  -0.589325E-01   0.366810E-01  -0.139843E+00  -0.244720E-03
 19   0.108235E-01   0.695452E+01   0.174618E+00  -0.346945E-16   0.128331E-01  -0.714105E-01   0.211474E-01  -0.137472E+00  -0.284484E-03
 20   0.120570E-01   0.774711E+01   0.198783E+00   0.138778E-16   0.110309E-01  -0.763159E-01   0.262113E-02  -0.136433E+00  -0.314201E-03
 21   0.133567E-01   0.858219E+01   0.218184E+00  -0.416334E-16   0.913476E-02  -0.750283E-01  -0.164460E-01  -0.136209E+00  -0.364609E-03
