"Iteration","Total Kinetic Energy (integral of KE density) Monitor - Iteration: Total Kinetic Energy (integral of KE density) Monitor - Iteration (m^5/s^2)"
1.0,9.867196859889141
2.0,9.8675595699162
3.0,9.867922096222543
4.0,9.868214875818788
5.0,9.868419359999997
6.0,9.868499272020943
7.0,9.868549141750744
8.0,9.86857505992025
9.0,9.868599577471063
10.0,9.86862347463071
11.0,9.86864503717938
12.0,9.86865833950157
13.0,9.86866709332719
14.0,9.868686678953338
15.0,9.868705117873874
16.0,9.868716954576426
17.0,9.868725124248783
18.0,9.868720452854813
19.0,9.868739927311063
20.0,9.868739824574709
21.0,9.868753494233772
22.0,9.868753319791672
23.0,9.868761998325377
24.0,9.868471659746314
25.0,9.868944793678802
26.0,9.868782797380891
27.0,9.86866288393594
28.0,9.868496809846059
29.0,9.868341607082591
30.0,9.868246707500205
31.0,9.868174737523628
32.0,9.868118380205749
33.0,9.868075587527336
34.0,9.868046224466056
35.0,9.868025825436657
36.0,9.868011448683008
37.0,9.86800140927523
38.0,9.867994219967914
39.0,9.867988139232406
40.0,9.867982477100618
41.0,9.86798557724008
42.0,9.867237950141856
43.0,9.8668652270282
44.0,9.866892532038714
45.0,9.866975509901723
46.0,9.867044594223174
47.0,9.867091843018377
48.0,9.867114404891286
49.0,9.867127407421226
50.0,9.867138608128965
51.0,9.867145997642092
52.0,9.867148985633811
53.0,9.867151685562082
54.0,9.866478140688324
55.0,9.866341308909135
56.0,9.866315422392624
57.0,9.866312978997385
58.0,9.866314153111688
59.0,9.866315648844406
60.0,9.866317092409794
61.0,9.865627734017028
62.0,9.86551181632877
63.0,9.86549161788971
64.0,9.865488301478745
65.0,9.865487676994395
66.0,9.86548785917848
67.0,9.86548812980985
68.0,9.864896732611445
69.0,9.86471267258594
70.0,9.864672375775651
71.0,9.864665561690764
72.0,9.864665109758857
73.0,9.864665279648765
74.0,9.86466467100167
75.0,9.864051643819879
76.0,9.86388593911126
77.0,9.863848981082402
78.0,9.863841173836532
79.0,9.863838912071493
80.0,9.863837497670227
81.0,9.863836610501107
82.0,9.863176580471638
83.0,9.863042278323547
84.0,9.863012568930008
85.0,9.863005464086118
86.0,9.863003813942786
87.0,9.86300315597862
88.0,9.863002859041375
89.0,9.862340177013408
90.0,9.862201501396088
91.0,9.862166472652088
92.0,9.862160350689678
93.0,9.862160318358187
94.0,9.862161355401536
95.0,9.862162574784332
96.0,9.861516184219091
97.0,9.861366356106469
98.0,9.861334877001564
99.0,9.861327402280663
100.0,9.861324753520398
101.0,9.861323263289165
102.0,9.861322169128936
103.0,9.860673195588976
104.0,9.860519912736779
105.0,9.860491012138283
106.0,9.860483688013261
107.0,9.860480955762409
108.0,9.860479517676145
109.0,9.860478692772924
110.0,9.859820820243247
111.0,9.859668637389753
112.0,9.859636284323766
113.0,9.859629324994792
114.0,9.859628120593102
115.0,9.859628099936575
116.0,9.859628188711866
117.0,9.85896459586487
118.0,9.858811915000821
119.0,9.858780746838022
120.0,9.858775297270284
121.0,9.858774118854285
122.0,9.858773739607567
123.0,9.858773531958215
124.0,9.858105259664367
125.0,9.857955134914395
126.0,9.857923909833186
127.0,9.85791804376974
128.0,9.857916241473093
129.0,9.857915498885992
130.0,9.857915050694825
131.0,9.857238324282372
132.0,9.857092107506041
133.0,9.85706019023582
134.0,9.857054088441688
135.0,9.857052586232449
136.0,9.857052076018622
137.0,9.857051811931768
138.0,9.85636899685876
139.0,9.856222860328394
140.0,9.856192367842478
141.0,9.856185844131979
142.0,9.856184265204504
143.0,9.856183772185233
144.0,9.85618360625184
145.0,9.855494881823706
146.0,9.855349536000418
147.0,9.855318779158566
148.0,9.85531224777785
149.0,9.85531079262525
150.0,9.855310458125928
151.0,9.85531041314357
152.0,9.854615505644198
153.0,9.85447092048688
154.0,9.854439889491143
155.0,9.854433421268698
156.0,9.854432233689874
157.0,9.854432084935901
158.0,9.854432159343805
159.0,9.853732202776374
160.0,9.85358818184254
161.0,9.853556612472108
162.0,9.85354979727543
163.0,9.85354870843792
164.0,9.853548757911309
165.0,9.85354894725218
166.0,9.852846588340515
167.0,9.85270229774689
168.0,9.852670985259097
169.0,9.852664054736536
170.0,9.85266274638808
171.0,9.852662641262024
172.0,9.852662652099243
173.0,9.8519563910931
174.0,9.851812820630407
175.0,9.851782006501768
176.0,9.851774881804653
177.0,9.851773319408066
178.0,9.851773056721775
179.0,9.851772990027111
180.0,9.851061824295876
181.0,9.850918071939407
182.0,9.850887601334742
183.0,9.850880698116473
184.0,9.85087931951705
185.0,9.850879148650332
186.0,9.850879172066463
187.0,9.850164337015968
188.0,9.85002019668091
189.0,9.849989957011033
190.0,9.84998304790713
191.0,9.849981553543632
192.0,9.849981294363623
193.0,9.849981247373824
194.0,9.84926326364128
195.0,9.849118468632716
196.0,9.849088123739882
197.0,9.84908117469384
198.0,9.849079733065615
199.0,9.849079460106662
200.0,9.849079375195924
201.0,9.848358840749288
202.0,9.848212843683445
203.0,9.848183455134619
204.0,9.84817653475293
205.0,9.848174780629533
206.0,9.84817422967727
207.0,9.848173957111097
208.0,9.847452514725823
209.0,9.847303300835916
210.0,9.847273052260892
211.0,9.847266528208593
212.0,9.847265184492768
213.0,9.847264913286688
214.0,9.847264779152335
215.0,9.84654058836928
216.0,9.846391862102811
217.0,9.846360830930195
218.0,9.846353625970936
219.0,9.846351998953335
220.0,9.846351652378289
221.0,9.846351527283495
222.0,9.845625028398699
223.0,9.845474882059484
224.0,9.845443287758282
225.0,9.84543617650858
226.0,9.845434563537767
227.0,9.845434132293066
228.0,9.845433995556977
229.0,9.844704166033937
230.0,9.844553070457408
231.0,9.844522218957174
232.0,9.844515303615339
233.0,9.844513669854667
234.0,9.844513224516916
235.0,9.844513040980635
236.0,9.843779169255987
237.0,9.843628049265387
238.0,9.843596849506516
239.0,9.843590072275987
240.0,9.843588686312103
241.0,9.84358843676604
242.0,9.843588416376022
243.0,9.842853316389851
244.0,9.842700269643545
245.0,9.842668409133518
246.0,9.842661659542516
247.0,9.842660403164796
248.0,9.842660226412494
249.0,9.842660197008998
250.0,9.841923668154466
251.0,9.841769084034267
252.0,9.841736931843311
253.0,9.841730035467467
254.0,9.841728570307753
255.0,9.841728317247153
256.0,9.841728376380507
257.0,9.840989560234139
258.0,9.840834095086386
259.0,9.84080182084718
260.0,9.840794943345408
261.0,9.84079352507819
262.0,9.840793244345694
263.0,9.840793230363676
264.0,9.84005188802951
265.0,9.839895855550882
266.0,9.83986339270593
267.0,9.83985658423249
268.0,9.839855236923956
269.0,9.839854980906521
270.0,9.83985496499801
271.0,9.83911131058264
272.0,9.838954688620946
273.0,9.838922178404673
274.0,9.838915326191017
275.0,9.838913985216756
276.0,9.838913763445902
277.0,9.838913769411372
278.0,9.838167938213218
279.0,9.838011310694133
280.0,9.837978101511295
281.0,9.837971045558785
282.0,9.837969654265285
283.0,9.837969442584328
284.0,9.837969476400216
285.0,9.83722296303733
286.0,9.837064069825988
287.0,9.837030005171163
288.0,9.837023145189939
