"Iteration","Total Kinetic Energy (integral of KE density) Monitor - Iteration: Total Kinetic Energy (integral of KE density) Monitor - Iteration (J)"
1.0,267.94340336560936
2.0,267.93325108717517
3.0,267.9378096439569
4.0,267.9450334767243
5.0,267.95212335863306
6.0,267.9589675668249
7.0,267.9644062997878
8.0,267.96909002061307
9.0,267.97280818967147
10.0,267.97599632490824
11.0,267.9785031780534
12.0,267.98062574274275
13.0,267.9822976420106
14.0,267.983700077346
15.0,267.98480145507085
16.0,267.98573973128913
17.0,267.9864713977202
18.0,267.987102233138
19.0,267.9875982970461
20.0,267.98802992607204
21.0,267.9883707939863
22.0,267.9886678132282
23.0,267.98890530498323
24.0,267.98911125178984
25.0,267.9892775587539
26.0,267.9894200461889
27.0,267.98953564384055
28.0,267.98963464262135
29.0,267.98971536292026
30.0,267.9897843983707
31.0,267.9898404275132
32.0,267.9898884409264
33.0,267.98992764247765
34.0,267.98996100166073
35.0,267.9899884069595
36.0,267.99001162094964
37.0,267.99003072092387
38.0,267.99004688598046
39.0,267.9900602104534
40.0,267.9900715200873
41.0,267.9900809174952
42.0,267.9900888148507
43.0,267.99009543869454
44.0,267.9901010640335
45.0,267.990105720304
46.0,267.9767719219142
47.0,267.9761198527174
48.0,267.97619614344086
49.0,267.976404527333
50.0,267.97642848158506
51.0,267.9760688289682
52.0,267.97587131991105
53.0,267.97595561977244
54.0,267.97617226205773
55.0,267.9766030323383
56.0,267.9772854230703
57.0,267.9778540979622
58.0,267.97812679897754
59.0,267.97840933889603
60.0,267.9782860292304
61.0,267.9785996513428
62.0,267.9786782994223
63.0,267.97873788459947
64.0,267.97877842074365
65.0,267.9788016371657
66.0,267.9788211192272
67.0,267.97883346448805
68.0,267.9788457614607
69.0,267.97885062981806
70.0,267.97885524283424
71.0,267.9788564603481
72.0,267.97885778227237
73.0,267.97107880443735
74.0,267.9692471089098
75.0,267.96880214116857
76.0,267.96858375248445
77.0,267.9685416997709
78.0,267.9686802142512
79.0,267.96877136873456
80.0,267.96875620718527
81.0,267.9686807182522
82.0,267.9685796178178
83.0,267.968361517896
84.0,267.96818416151086
85.0,267.9680896461741
86.0,267.9680537562513
87.0,267.96796764710496
88.0,267.96794529354275
89.0,267.96792291143026
90.0,267.96790600748784
91.0,267.96789659735543
92.0,267.9678907761162
93.0,267.9678879165372
94.0,267.9678860519198
95.0,267.9593548345188
96.0,267.95750758944445
97.0,267.9570873409732
98.0,267.9569803713706
99.0,267.9569473262116
100.0,267.956929904359
101.0,267.95691674302515
102.0,267.9569037985875
103.0,267.9568861525356
104.0,267.9568786264017
105.0,267.9568722427479
106.0,267.9568681206409
107.0,267.9568656345727
108.0,267.9482111018093
109.0,267.9462657491154
110.0,267.94587427020963
111.0,267.94578671652334
112.0,267.94575650941965
113.0,267.9457402015364
114.0,267.9457280250614
115.0,267.9457250178087
116.0,267.9457228736311
117.0,267.94571998700064
118.0,267.93691455451955
119.0,267.9349708896144
120.0,267.9345830598022
121.0,267.934487694792
122.0,267.9344527488669
123.0,267.93443789171886
124.0,267.9344273279002
125.0,267.9344193008923
126.0,267.93441955200296
127.0,267.934418964649
128.0,267.93441688801477
129.0,267.92547371386047
130.0,267.9235079900922
131.0,267.9231094859342
132.0,267.9230174211495
133.0,267.9229871933967
134.0,267.92297341516706
135.0,267.92296497144247
136.0,267.9229594024496
137.0,267.922958489523
138.0,267.922956043749
139.0,267.91388605578493
140.0,267.9118975982492
141.0,267.91148911432913
142.0,267.9113941627043
143.0,267.911365288723
144.0,267.9113535230874
145.0,267.9113456335274
146.0,267.9113408022181
147.0,267.9113398975938
148.0,267.9113376539045
149.0,267.90214324501653
150.0,267.9001245798596
151.0,267.8997123786515
152.0,267.89962054112544
153.0,267.89959514599883
154.0,267.8995834955383
155.0,267.89957606138955
156.0,267.8995722967382
157.0,267.8995708318529
158.0,267.8995691116121
159.0,267.8902489418747
160.0,267.88823498200725
161.0,267.8877998211887
162.0,267.887699355835
163.0,267.8876742051057
164.0,267.8876682979934
165.0,267.8876648163331
166.0,267.8876652112182
167.0,267.8876638017615
168.0,267.878234460639
169.0,267.8761997614912
170.0,267.87576277468264
171.0,267.8756589839547
172.0,267.87563385797597
173.0,267.87562825353456
174.0,267.87562769795977
175.0,267.8756293409644
176.0,267.8756280431526
177.0,267.8661074616183
178.0,267.8640270648725
179.0,267.8636050916565
180.0,267.863508613448
181.0,267.86348567602795
182.0,267.86347666492287
183.0,267.86347063225605
184.0,267.8634672173738
185.0,267.86346405837355
186.0,267.85382854874945
187.0,267.85173356479197
188.0,267.851312206201
189.0,267.8512166111987
190.0,267.8511956502699
191.0,267.8511871874416
192.0,267.85118293371215
193.0,267.85118060270366
194.0,267.8511790173972
195.0,267.8414383749491
196.0,267.839333921395
197.0,267.8389064227999
198.0,267.83881243214904
199.0,267.83879353782925
200.0,267.8387885990079
201.0,267.83878625689243
202.0,267.8289682591019
203.0,267.81974712684547
204.0,267.8106183510835
205.0,267.8015022805556
206.0,267.792378362391
207.0,267.78317698724317
