"Iteration","Total Kinetic Energy (integral of KE density) Monitor - Iteration: Total Kinetic Energy (integral of KE density) Monitor - Iteration (J)"
1.0,267.9929932713494
2.0,267.99222324708865
3.0,267.99051866069016
4.0,267.98946119723934
5.0,267.98860491829055
6.0,267.9876328442939
7.0,267.98658950753634
8.0,267.98557343094404
9.0,267.98456314517165
10.0,267.98354769144703
11.0,267.9825282941099
12.0,267.98150707361003
13.0,267.9804840247746
14.0,267.97945911197985
15.0,267.9784320780269
16.0,267.9774028449309
17.0,267.9763714951823
18.0,267.9753382014661
19.0,267.97430433406305
20.0,267.9732685246286
21.0,267.97223048315885
22.0,267.9711903667778
23.0,267.97014819100525
24.0,267.9691039477019
25.0,267.96805764897334
26.0,267.9670093061788
27.0,267.9659589278943
28.0,267.9649065232098
29.0,267.96385210144336
30.0,267.962795671884
31.0,267.9617372436212
32.0,267.9606768253471
33.0,267.9596144263187
34.0,267.9585500553974
35.0,267.9574837215189
36.0,267.95641543380486
37.0,267.95534520121964
38.0,267.9542730322821
39.0,267.9531989215144
40.0,267.952122823552
41.0,267.9510446870953
42.0,267.94996464055413
43.0,267.94888271108334
44.0,267.94779890179814
45.0,267.9467132155711
46.0,267.9456256611302
47.0,267.94453624832755
48.0,267.9434449859615
49.0,267.9423518823427
50.0,267.94125694594584
51.0,267.94016018532955
52.0,267.93906160885786
53.0,267.93796122418104
54.0,267.93685903999193
55.0,267.93575506449935
56.0,267.93464930658206
57.0,267.93354177438124
58.0,267.93243247630335
59.0,267.9313214206452
60.0,267.9302086157121
61.0,267.9290940697718
62.0,267.92797779106445
63.0,267.92685978780327
64.0,267.9257400681739
65.0,267.9246186403343
66.0,267.9234955124151
67.0,267.92237067548075
68.0,267.9212441380043
69.0,267.92011688839375
70.0,267.91898871886826
71.0,267.91785877337895
72.0,267.91672709486664
73.0,267.91559375258635
74.0,267.9144587484036
75.0,267.9133220840184
76.0,267.91218376878584
77.0,267.911043810857
78.0,267.9099022179894
79.0,267.90875899799425
80.0,267.90761415872197
81.0,267.90646770798975
82.0,267.9053196535925
83.0,267.9041700033084
84.0,267.90301876337446
85.0,267.9018659466927
86.0,267.9007115560747
87.0,267.8995555979055
88.0,267.8983980798037
89.0,267.89723900930403
90.0,267.8960783941049
91.0,267.89491624183404
92.0,267.89375231351033
93.0,267.8925868430455
94.0,267.8914198995481
95.0,267.8902514646431
96.0,267.8890815504269
97.0,267.8879101632648
98.0,267.88673731126914
99.0,267.8855630009379
100.0,267.8843872373792
101.0,267.8832100277102
102.0,267.88203137904907
103.0,267.88085129836213
104.0,267.8796697926834
105.0,267.8784868689807
106.0,267.8773025341774
107.0,267.876116795155
108.0,267.8749296587507
109.0,267.8737411317592
110.0,267.87255122093194
111.0,267.871359932977
112.0,267.87016727455864
113.0,267.8689732522979
114.0,267.8677778727726
115.0,267.8665811425175
116.0,267.8653830680246
117.0,267.8641836557431
118.0,267.8629829120803
119.0,267.8617808434018
120.0,267.8605774560327
121.0,267.85937275625463
122.0,267.85816675030753
123.0,267.8569594443943
124.0,267.8557508446763
125.0,267.8545409572753
126.0,267.8533297882739
127.0,267.8521173437164
128.0,267.85090362960875
129.0,267.8496886519192
130.0,267.8484724165999
131.0,267.8472549295362
132.0,267.8460361965748
133.0,267.8448162235595
134.0,267.84359501626284
135.0,267.8423725804654
136.0,267.8411489218181
137.0,267.8399240459795
138.0,267.838697958573
139.0,267.83747066520954
140.0,267.83624216454893
141.0,267.83501246288654
142.0,267.83378156864313
143.0,267.8325494880602
144.0,267.83131622665957
145.0,267.8300817897849
146.0,267.82884618288165
147.0,267.827609411309
148.0,267.8263714804044
149.0,267.8251323954718
150.0,267.8238921617867
151.0,267.8226507845966
152.0,267.82140826912064
153.0,267.82016462055026
154.0,267.81891907980787
155.0,267.81766929138314
156.0,267.81641834717533
157.0,267.8151666246049
158.0,267.81391385194894
159.0,267.8126599579816
160.0,267.81140500715065
161.0,267.8101490059821
162.0,267.80889195215406
163.0,267.8076339590758
164.0,267.80637524311453
165.0,267.8051157834499
166.0,267.8038552423119
167.0,267.80259365412803
168.0,267.8013310537798
169.0,267.8000674429517
170.0,267.79880282334
171.0,267.79753720168907
172.0,267.796270582722
173.0,267.795002971355
174.0,267.7937343718614
175.0,267.79246478918395
176.0,267.7911942279143
177.0,267.78992269266325
178.0,267.78865018811985
179.0,267.78737671885665
180.0,267.7861022892704
181.0,267.784826903777
182.0,267.78355056685416
183.0,267.7822732829615
184.0,267.78099505653296
185.0,267.7797158919816
186.0,267.7784357936957
187.0,267.7771547660403
188.0,267.77587281555486
189.0,267.77458995047346
190.0,267.7733061704222
191.0,267.7720214732843
192.0,267.7707358650458
193.0,267.7694493509805
194.0,267.7681619349253
195.0,267.7668736210593
196.0,267.76558441356497
197.0,267.7642943162268
198.0,267.7630035608609
199.0,267.7617128660663
200.0,267.7604222838661
