"Iteration","Total Kinetic Energy (integral of KE density) Monitor - Iteration: Total Kinetic Energy (integral of KE density) Monitor - Iteration (J)"
1.0,267.9931626131332
2.0,267.9923158046492
3.0,267.9906166504827
4.0,267.98957708035755
5.0,267.98871891904486
6.0,267.9877451585762
7.0,267.98670284906
8.0,267.9856877468189
9.0,267.9846780584751
10.0,267.9836631954834
11.0,267.98264441867457
12.0,267.98162381817514
13.0,267.98060138165425
14.0,267.9795770983601
15.0,267.97855065560975
16.0,267.9775220090621
17.0,267.9764912441726
18.0,267.9754583996391
19.0,267.9744244036357
20.0,267.97338914798786
21.0,267.9723517349141
22.0,267.97131216834214
23.0,267.97027053864946
24.0,267.96922684290934
25.0,267.96818108378045
26.0,267.9671332736474
27.0,267.9660834222553
28.0,267.9650315383954
29.0,267.9639776313153
30.0,267.9629217104646
31.0,267.96186378462977
32.0,267.96080386299434
33.0,267.95974195464436
34.0,267.9586780684837
35.0,267.9576122136099
36.0,267.9565443992592
37.0,267.9554746340217
38.0,267.95440292661874
39.0,267.95332928598634
40.0,267.95225370188143
41.0,267.95117597611437
42.0,267.9500963692537
43.0,267.94901487113884
44.0,267.9479314910435
45.0,267.94684622693484
46.0,267.9457590887145
47.0,267.94467008673087
48.0,267.94357922988416
49.0,267.9424865263316
50.0,267.9413919845797
51.0,267.940295613244
52.0,267.9391974208788
53.0,267.9380974157679
54.0,267.93699560521617
55.0,267.93589199843353
56.0,267.93478660357044
57.0,267.93367942968223
58.0,267.9325704846659
59.0,267.93145977699754
60.0,267.93034731502684
61.0,267.9292331070525
62.0,267.9281171613553
63.0,267.92699948618923
64.0,267.9258800897798
65.0,267.9247589771483
66.0,267.92363611145515
67.0,267.9225115420286
68.0,267.92138545042747
69.0,267.9202591148751
70.0,267.91913123459756
71.0,267.91800151183827
72.0,267.9168701070938
73.0,267.91573703451405
74.0,267.91460229086294
75.0,267.91346588310415
76.0,267.9123278205301
77.0,267.91118811097215
78.0,267.91004676224145
79.0,267.90890378222457
80.0,267.90775917880165
81.0,267.90661295982375
82.0,267.9054651331214
83.0,267.9043157065091
84.0,267.90316468581784
85.0,267.9020120854408
86.0,267.9008579067224
87.0,267.89970215647634
88.0,267.8985448424635
89.0,267.89738597232946
90.0,267.896225553687
91.0,267.8950635921826
92.0,267.8938998199529
93.0,267.89273453972305
94.0,267.89156778244353
95.0,267.89039952727126
96.0,267.8892297894606
97.0,267.8880585750852
98.0,267.88688589375204
99.0,267.8857117498046
100.0,267.8845361489405
101.0,267.8833590986611
102.0,267.88218060599553
103.0,267.88100067796495
104.0,267.8798193216476
105.0,267.87863654404146
106.0,267.87745235210565
107.0,267.87626675275555
108.0,267.87507975286155
109.0,267.87389135925184
110.0,267.87270157871137
111.0,267.8715104179809
112.0,267.870317883757
113.0,267.86912398269305
114.0,267.86792872139847
115.0,267.8667321064394
116.0,267.86553414433877
117.0,267.8643348415766
118.0,267.8631342045902
119.0,267.86193223977466
120.0,267.8607289534833
121.0,267.85952435202756
122.0,267.858318441678
123.0,267.8571112286643
124.0,267.8559027191759
125.0,267.8546929193624
126.0,267.8534818353338
127.0,267.85226947316164
128.0,267.8510558388802
129.0,267.84984093848175
130.0,267.84862477792376
131.0,267.8474073631286
132.0,267.84618870003396
133.0,267.84496879443185
134.0,267.84374765209657
135.0,267.8425252788571
136.0,267.8413016805485
137.0,267.8400768626783
138.0,267.83885083093253
139.0,267.8376235909466
140.0,267.83639514164236
141.0,267.8351654889145
142.0,267.83393464140386
143.0,267.83270260529525
144.0,267.83146938621724
145.0,267.83023498951144
146.0,267.8289994206411
147.0,267.82776268498736
148.0,267.82652478790453
149.0,267.8252857347191
150.0,267.8240455307295
151.0,267.82280418120354
152.0,267.82156169138074
153.0,267.8203180664722
154.0,267.8190722956051
155.0,267.81782225252687
156.0,267.81657138351295
157.0,267.8153197037736
158.0,267.8140669429176
159.0,267.81281305966
160.0,267.8115581234815
161.0,267.81030213390693
162.0,267.8090450893745
163.0,267.8077869954189
164.0,267.80652792042343
165.0,267.80526813919516
166.0,267.80400747460624
167.0,267.80274588084694
168.0,267.8014832699997
169.0,267.80021963448905
170.0,267.79895498876465
171.0,267.797689341827
172.0,267.7964226963199
173.0,267.7951550561795
174.0,267.7938864265046
175.0,267.7926168120887
176.0,267.79134621750484
177.0,267.7900746473449
178.0,267.78880210621
179.0,267.78752859878773
180.0,267.7862541297772
181.0,267.78497870340135
182.0,267.7837023241119
183.0,267.78242499639583
184.0,267.78114672470423
185.0,267.77986751346435
186.0,267.77858736708396
187.0,267.77730628994925
188.0,267.7760242864251
189.0,267.7747413653284
190.0,267.77345753230566
191.0,267.7721727834405
192.0,267.7708871206685
193.0,267.7696005504954
194.0,267.7683130772683
195.0,267.7670247049374
196.0,267.7657354377245
197.0,267.76444527970943
198.0,267.76315425139387
199.0,267.76186401984535
200.0,267.76057340670394
