"Iteration","Total Kinetic Energy (integral of KE density) Monitor - Iteration: Total Kinetic Energy (integral of KE density) Monitor - Iteration (J)"
1.0,267.99233202995543
2.0,267.9811326962326
3.0,267.9704648793795
4.0,267.9596444741843
5.0,267.9485909273676
6.0,267.9373919148775
7.0,267.9260197525657
8.0,267.91449523624544
9.0,267.90282298856164
10.0,267.8910110539133
11.0,267.8790807978155
12.0,267.86701936643715
13.0,267.8548347700855
14.0,267.8425346152104
15.0,267.8301307550324
16.0,267.8176304578998
17.0,267.80502607064045
18.0,267.7923235171384
19.0,267.77952784538536
20.0,267.76662040828944
