"Iteration","Total Kinetic Energy (integral of KE density) Monitor - Iteration: Total Kinetic Energy (integral of KE density) Monitor - Iteration (J)"
1.0,267.98732172740245
2.0,267.97611207498926
3.0,267.9654402801933
4.0,267.9546165476934
5.0,267.9435597078972
6.0,267.9323578113384
7.0,267.9209830798743
8.0,267.90945620004265
9.0,267.8977818443422
10.0,267.88596801274696
11.0,267.8740361854335
12.0,267.861973155113
13.0,267.84978709935035
14.0,267.83748562053177
15.0,267.8250805918194
16.0,267.812579194958
17.0,267.79997380260414
18.0,267.78727032801885
19.0,267.77447379011426
20.0,267.76156578431153
