"Iteration","Total Kinetic Energy (integral of KE density) Monitor - Iteration: Total Kinetic Energy (integral of KE density) Monitor - Iteration (J)"
1.0,267.9634933561955
2.0,267.95188506254624
3.0,267.94069301222225
4.0,267.92999999501615
5.0,267.9190180143312
6.0,267.9077874605603
7.0,267.89637469022864
8.0,267.8848330435463
9.0,267.8731470657564
10.0,267.8613246108555
11.0,267.8493821004408
12.0,267.83731139767724
13.0,267.8251179352482
14.0,267.8128104084322
15.0,267.8003943094056
16.0,267.78787953131564
17.0,267.7752764030157
18.0,267.76257519084703
19.0,267.74978051040864
20.0,267.73686143829
