"Iteration","Total Kinetic Energy (integral of KE density) Monitor - Iteration: Total Kinetic Energy (integral of KE density) Monitor - Iteration (J)"
1.0,267.98895561879846
2.0,267.97706530669177
3.0,267.96560167109055
4.0,267.95496608063695
5.0,267.9440636225291
6.0,267.93284429225434
7.0,267.92146124678777
8.0,267.9099503731853
9.0,267.898290342412
10.0,267.88648889274936
11.0,267.8745653947196
12.0,267.8625167923018
13.0,267.8503436751811
14.0,267.8380546021597
15.0,267.8256556024927
16.0,267.813159082068
17.0,267.8005699151546
18.0,267.7878812355047
19.0,267.775098115228
20.0,267.76220346482955
