"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual"
1.0,1.0,1.0,1.0
16.0,0.051257366620744496,0.05069902972916953,0.04996252664128704
31.0,0.002675505351504507,0.0027990203446618925,0.0027995392649566454
46.0,1.4362670243742802E-4,1.5785325649914973E-4,1.5478287816538848E-4
61.0,8.070051068769933E-6,9.413231926271377E-6,8.572569813042338E-6
76.0,0.2389918108820069,0.0813711313831707,0.08760947924060045
91.0,0.011024785625551542,0.005207632466043945,0.005831563657793313
106.0,4.884637175036128E-4,3.3999782777913135E-4,4.0571670379397414E-4
121.0,2.4041405816037888E-5,2.2654381561377716E-5,2.7827313575949705E-5
136.0,1.3833103916213383E-6,1.5217902959897638E-6,1.96599457516241E-6
151.0,0.04997636356153098,0.018585240814729696,0.019943691144284726
167.0,0.001780494136018404,0.0010221280236067105,0.0011782765728817163
182.0,7.43041245177389E-5,6.615376623987766E-5,8.111426259154356E-5
197.0,3.857425026506689E-6,4.354865641473441E-6,5.658065277942517E-6
212.0,2.5249082680678854E-7,2.916636856605172E-7,3.9319158265456087E-7
227.0,0.0019716655792965444,0.001588870889049402,0.0012569019754429726
242.0,9.930202415695366E-5,9.192397837250443E-5,7.184165372220313E-5
257.0,7.072121567969597E-6,5.261869294162492E-6,4.146950279132442E-6
272.0,0.002347821710401186,0.0019125082269328595,0.0015096453350782277
287.0,1.159445237475736E-4,1.1090280657225117E-4,8.634516859757286E-5
302.0,8.253228032983233E-6,6.401821843715605E-6,5.022592943450712E-6
318.0,0.0017698097424061604,0.0015460219570938459,0.0012208138297155875
333.0,9.453591465575847E-5,9.001918398119239E-5,6.986078314853121E-5
348.0,6.740506963833524E-6,5.144225032340489E-6,4.045399926958194E-6
363.0,0.0026367257147794933,0.0022474114151095725,0.001768157521768645
378.0,1.345261513578358E-4,1.305018781797386E-4,1.0136475892565322E-4
393.0,9.39455317316075E-6,7.52112772373518E-6,5.91746047541094E-6
408.0,0.003225040229922038,0.0027015037295748975,0.0021178591295706313
423.0,1.5982793485543156E-4,1.5706042907512202E-4,1.2206960908822587E-4
438.0,1.1086375498649043E-5,9.006744846502903E-6,7.074256125668447E-6
453.0,0.004713379399782136,0.003954868934400815,0.003175657119818698
469.0,1.9066478542106527E-4,1.8876151447238542E-4,1.462660240100594E-4
484.0,1.3057129257799207E-5,1.085124018006595E-5,8.515101174162881E-6
499.0,0.004710994068834306,0.003925810712090516,0.0031414817318492524
514.0,2.2726085769052658E-4,2.265433690998308E-4,1.7544004557015067E-4
529.0,1.5415473496929295E-5,1.3021389185454556E-5,1.0189759836512642E-5
544.0,0.009942540819424138,0.01420836139622033,0.019228182351094955
559.0,4.126261135545624E-4,3.3002132577591807E-4,2.563790755176727E-4
574.0,2.3545242164096114E-5,1.9083769452085167E-5,1.4850498090682742E-5
589.0,0.006489776682064434,0.014109281501465102,0.019164901578998625
