  j        y/delta             y+          u_rms          v_rms          w_rms    omega_x_rms    omega_y_rms    omega_z_rms          p_rms
  1   0.000000E+00   0.000000E+00   0.335139E-13   0.228130E-15   0.186313E-14   0.266863E+00   0.170478E-15   0.405514E+00   0.252620E+01
  2   0.334661E-04   0.215033E-01   0.871747E-02   0.567804E-05   0.572300E-02   0.265431E+00   0.645397E-03   0.405291E+00   0.252541E+01
  3   0.133862E-03   0.860117E-01   0.348413E-01   0.899441E-04   0.227084E-01   0.261206E+00   0.258161E-02   0.404666E+00   0.252342E+01
  4   0.301181E-03   0.193521E+00   0.782927E-01   0.447837E-03   0.504176E-01   0.254375E+00   0.580898E-02   0.403755E+00   0.252034E+01
  5   0.535413E-03   0.344024E+00   0.138960E+00   0.138299E-02   0.879915E-01   0.245211E+00   0.103288E-01   0.402711E+00   0.251604E+01
  6   0.836540E-03   0.537510E+00   0.216716E+00   0.327812E-02   0.134302E+00   0.234055E+00   0.161430E-01   0.401663E+00   0.251112E+01
  7   0.120454E-02   0.773968E+00   0.311423E+00   0.655849E-02   0.188015E+00   0.221268E+00   0.232522E-01   0.400653E+00   0.250587E+01
  8   0.163940E-02   0.105338E+01   0.422894E+00   0.116527E-01   0.247654E+00   0.207245E+00   0.316495E-01   0.399565E+00   0.250034E+01
  9   0.214108E-02   0.137573E+01   0.550809E+00   0.189548E-01   0.311674E+00   0.192446E+00   0.413095E-01   0.398076E+00   0.249521E+01
 10   0.270954E-02   0.174099E+01   0.694549E+00   0.287929E-01   0.378524E+00   0.177440E+00   0.521716E-01   0.395634E+00   0.249086E+01
 11   0.334476E-02   0.214914E+01   0.852978E+00   0.414055E-01   0.446717E+00   0.162948E+00   0.641212E-01   0.391532E+00   0.248742E+01
 12   0.404669E-02   0.260016E+01   0.102420E+01   0.569295E-01   0.514898E+00   0.149872E+00   0.769735E-01   0.385080E+00   0.248553E+01
 13   0.481527E-02   0.309401E+01   0.120538E+01   0.753989E-01   0.581899E+00   0.139186E+00   0.904682E-01   0.375845E+00   0.248556E+01
 14   0.565047E-02   0.363065E+01   0.139273E+01   0.967525E-01   0.646793E+00   0.131748E+00   0.104280E+00   0.363868E+00   0.248759E+01
 15   0.655222E-02   0.421006E+01   0.158166E+01   0.120849E+00   0.708915E+00   0.128031E+00   0.118042E+00   0.349758E+00   0.249209E+01
 16   0.752047E-02   0.483220E+01   0.176716E+01   0.147486E+00   0.767862E+00   0.127890E+00   0.131379E+00   0.334582E+00   0.249923E+01
 17   0.855514E-02   0.549702E+01   0.194426E+01   0.176419E+00   0.823462E+00   0.130636E+00   0.143946E+00   0.319615E+00   0.250894E+01
 18   0.965617E-02   0.620448E+01   0.210855E+01   0.207379E+00   0.875725E+00   0.135316E+00   0.155450E+00   0.305994E+00   0.252137E+01
 19   0.108235E-01   0.695452E+01   0.225649E+01   0.240085E+00   0.924774E+00   0.140984E+00   0.165672E+00   0.294434E+00   0.253641E+01
 20   0.120570E-01   0.774711E+01   0.238567E+01   0.274251E+00   0.970785E+00   0.146903E+00   0.174477E+00   0.285107E+00   0.255377E+01
 21   0.133567E-01   0.858219E+01   0.249487E+01   0.309590E+00   0.101394E+01   0.152575E+00   0.181805E+00   0.277713E+00   0.257326E+01
 22   0.147224E-01   0.945970E+01   0.258390E+01   0.345818E+00   0.105437E+01   0.157694E+00   0.187666E+00   0.271684E+00   0.259455E+01
 23   0.161540E-01   0.103796E+02   0.265346E+01   0.382648E+00   0.109218E+01   0.162115E+00   0.192122E+00   0.266413E+00   0.261710E+01
 24   0.176515E-01   0.113418E+02   0.270489E+01   0.419798E+00   0.112743E+01   0.165791E+00   0.195274E+00   0.261401E+00   0.264054E+01
 25   0.192147E-01   0.123462E+02   0.273991E+01   0.456991E+00   0.116014E+01   0.168722E+00   0.197242E+00   0.256320E+00   0.266437E+01
 26   0.208436E-01   0.133928E+02   0.276044E+01   0.493958E+00   0.119033E+01   0.170951E+00   0.198158E+00   0.251000E+00   0.268801E+01
 27   0.225380E-01   0.144816E+02   0.276844E+01   0.530446E+00   0.121800E+01   0.172537E+00   0.198153E+00   0.245395E+00   0.271104E+01
 28   0.242979E-01   0.156124E+02   0.276580E+01   0.566222E+00   0.124319E+01   0.173531E+00   0.197352E+00   0.239526E+00   0.273301E+01
 29   0.261230E-01   0.167851E+02   0.275429E+01   0.601078E+00   0.126596E+01   0.174000E+00   0.195868E+00   0.233454E+00   0.275348E+01
 30   0.280134E-01   0.179997E+02   0.273550E+01   0.634834E+00   0.128638E+01   0.174002E+00   0.193806E+00   0.227243E+00   0.277217E+01
 31   0.299687E-01   0.192561E+02   0.271087E+01   0.667338E+00   0.130455E+01   0.173585E+00   0.191258E+00   0.220947E+00   0.278883E+01
 32   0.319891E-01   0.205543E+02   0.268167E+01   0.698471E+00   0.132059E+01   0.172799E+00   0.188307E+00   0.214614E+00   0.280323E+01
 33   0.340742E-01   0.218940E+02   0.264898E+01   0.728140E+00   0.133464E+01   0.171691E+00   0.185026E+00   0.208281E+00   0.281530E+01
 34   0.362239E-01   0.232753E+02   0.261377E+01   0.756284E+00   0.134683E+01   0.170297E+00   0.181482E+00   0.201981E+00   0.282497E+01
 35   0.384382E-01   0.246981E+02   0.257686E+01   0.782865E+00   0.135731E+01   0.168660E+00   0.177735E+00   0.195746E+00   0.283222E+01
 36   0.407168E-01   0.261622E+02   0.253894E+01   0.807868E+00   0.136621E+01   0.166810E+00   0.173840E+00   0.189609E+00   0.283712E+01
 37   0.430597E-01   0.276676E+02   0.250059E+01   0.831295E+00   0.137369E+01   0.164777E+00   0.169844E+00   0.183599E+00   0.283973E+01
 38   0.454665E-01   0.292141E+02   0.246229E+01   0.853163E+00   0.137987E+01   0.162596E+00   0.165792E+00   0.177741E+00   0.284010E+01
 39   0.479373E-01   0.308016E+02   0.242444E+01   0.873501E+00   0.138486E+01   0.160289E+00   0.161722E+00   0.172047E+00   0.283835E+01
 40   0.504718E-01   0.324302E+02   0.238736E+01   0.892349E+00   0.138880E+01   0.157874E+00   0.157668E+00   0.166528E+00   0.283458E+01
 41   0.530699E-01   0.340995E+02   0.235130E+01   0.909754E+00   0.139177E+01   0.155374E+00   0.153659E+00   0.161203E+00   0.282890E+01
 42   0.557313E-01   0.358096E+02   0.231644E+01   0.925771E+00   0.139389E+01   0.152803E+00   0.149718E+00   0.156090E+00   0.282144E+01
 43   0.584559E-01   0.375603E+02   0.228290E+01   0.940459E+00   0.139522E+01   0.150176E+00   0.145865E+00   0.151206E+00   0.281234E+01
 44   0.612436E-01   0.393515E+02   0.225076E+01   0.953883E+00   0.139585E+01   0.147516E+00   0.142114E+00   0.146560E+00   0.280172E+01
 45   0.640941E-01   0.411830E+02   0.222006E+01   0.966108E+00   0.139584E+01   0.144836E+00   0.138477E+00   0.142155E+00   0.278971E+01
 46   0.670072E-01   0.430548E+02   0.219082E+01   0.977201E+00   0.139524E+01   0.142150E+00   0.134963E+00   0.137985E+00   0.277648E+01
 47   0.699828E-01   0.449667E+02   0.216303E+01   0.987224E+00   0.139413E+01   0.139473E+00   0.131575E+00   0.134041E+00   0.276212E+01
 48   0.730206E-01   0.469187E+02   0.213668E+01   0.996241E+00   0.139255E+01   0.136810E+00   0.128318E+00   0.130315E+00   0.274678E+01
 49   0.761205E-01   0.489104E+02   0.211173E+01   0.100431E+01   0.139055E+01   0.134167E+00   0.125191E+00   0.126798E+00   0.273057E+01
 50   0.792822E-01   0.509420E+02   0.208814E+01   0.101150E+01   0.138818E+01   0.131554E+00   0.122192E+00   0.123475E+00   0.271358E+01
